ticker_id,ticker,capture_date,expiry,dte,spot,atm_iv,put_iv,call_iv,put_skew,risk_reversal,loaded_at
rut,IWM,2026-08-20,2026-09-18,29,297.6700134277344,0.17768485157747757,0.2580411903576217,0.1566729037894845,0.08035633878014412,0.10136828656813718,2026-08-20 22:41:43.36677
spx,SPY,2026-08-21,2026-09-18,28,765.719970703125,0.1218463305360824,0.22536789405353366,0.12911882108912476,0.10352156351745126,0.0962490729644089,2026-08-21 22:39:08.84911
ndx,QQQ,2026-08-21,2026-09-18,28,713.4400024414062,0.19111704304951216,0.2689451003453798,0.1725418693319649,0.07782805729586761,0.09640323101341489,2026-08-21 22:39:09.442627
rut,IWM,2026-08-21,2026-09-18,28,299.9599914550781,0.16885844096893446,0.24758030728038768,0.15473988652426754,0.07872186631145323,0.09284042075612015,2026-08-21 22:39:10.065808
spx,SPY,2026-08-22,2026-09-18,27,765.719970703125,0.12401611534822733,0.22938714257934692,0.13129574929749974,0.10537102723111959,0.09809139328184718,2026-08-22 22:36:19.711569
ndx,QQQ,2026-08-22,2026-09-18,27,713.4400024414062,0.19450629037743405,0.27371565805443143,0.17559359662688673,0.07920936767699738,0.0981220614275447,2026-08-22 22:36:20.157197
rut,IWM,2026-08-22,2026-09-18,27,299.9599914550781,0.17185157562132924,0.2519791900111436,0.1576673958524257,0.08012761438981436,0.0943117941587179,2026-08-22 22:36:20.52
spx,SPY,2026-08-24,2026-09-25,32,763.469970703125,0.1287127393011742,0.22637338872584992,0.12873622031617177,0.09766064942467573,0.09763716840967815,2026-08-24 22:41:44.807829
ndx,QQQ,2026-08-24,2026-09-25,32,706.3200073242188,0.20083543756041702,0.27033433817674807,0.17347936159607624,0.06949890061633104,0.09685497658067183,2026-08-24 22:41:45.391105
rut,IWM,2026-08-24,2026-09-25,32,297.9700012207031,0.17350678377978487,0.2509654950138032,0.15764270427919938,0.07745871123401835,0.09332279073460384,2026-08-24 22:41:45.953668
spx,SPY,2026-08-25,2026-09-25,31,765.9099731445312,0.12215596798134958,0.22332865298584398,0.13172354513842172,0.1011726850044944,0.09160510784742226,2026-08-25 22:41:52.866624
ndx,QQQ,2026-08-25,2026-09-25,31,710.719970703125,0.18437291478432777,0.2626956904157162,0.16798624754788283,0.07832277563138845,0.0947094428678334,2026-08-25 22:41:53.470515
rut,IWM,2026-08-25,2026-09-25,31,299.2300109863281,0.17323941119294617,0.24869474243321266,0.15460418077117213,0.07545533124026649,0.09409056166204052,2026-08-25 22:41:54.032757
spx,SPY,2026-08-27,2026-09-25,29,766.0800170898438,0.1358365323183773,0.2246839018319397,0.13349305851429705,0.0888473695135624,0.09119084331764266,2026-08-27 03:08:51.20556
ndx,QQQ,2026-08-27,2026-09-25,29,711.3699951171875,0.1956137093886738,0.26419242318040126,0.1722522207749844,0.06857871379172745,0.09194020240541687,2026-08-27 03:08:51.844273
rut,IWM,2026-08-27,2026-09-25,29,298.92999267578125,0.16856308241859067,0.2513458880527913,0.15551087458023433,0.08278280563420062,0.09583501347255696,2026-08-27 03:08:52.405313
spx,SPY,2026-08-28,2026-09-25,28,771.0999755859375,0.00022973032563924656,0.062509375,0.062509375,0.06227964467436076,0.0,2026-08-28 06:08:01.67936
ndx,QQQ,2026-08-28,2026-09-25,28,721.1099853515625,0.00022728655964135956,0.062509375,0.062509375,0.062282088440358645,0.0,2026-08-28 06:08:02.147529
rut,IWM,2026-08-28,2026-09-25,28,299.80999755859375,0.000752189614772828,0.062509375,0.062509375,0.061757185385227176,0.0,2026-08-28 06:08:02.527863
spx,SPY,2026-08-29,2026-09-30,32,769.3499755859375,0.11719643988259121,0.21614617914937428,0.12640273968964827,0.09894973926678308,0.08974343945972602,2026-08-29 03:43:18.115465
ndx,QQQ,2026-08-29,2026-09-30,32,716.4299926757812,0.172232986585712,0.24921049581983384,0.15557948331062496,0.07697750923412183,0.09363101250920888,2026-08-29 03:43:18.565173
rut,IWM,2026-08-29,2026-09-30,32,295.75,0.1629264616394043,0.23980130323486323,0.14733030412597656,0.07687484159545893,0.09247099910888668,2026-08-29 03:43:18.923834
spx,SPY,2026-08-30,2026-09-30,31,769.3499755859375,0.1190160341448149,0.21952840716924507,0.12835584515839826,0.10051237302443017,0.09117256201084681,2026-08-30 00:15:08.860739
ndx,QQQ,2026-08-30,2026-09-30,31,716.4299926757812,0.1749006561239622,0.2530608725156769,0.15790770611499996,0.07816021639171469,0.09515316640067692,2026-08-30 00:15:09.327358
rut,IWM,2026-08-30,2026-09-30,31,295.75,0.1654624470214844,0.24352807260742185,0.14928340959472655,0.07806562558593744,0.0942446630126953,2026-08-30 00:15:09.731825
spx,SPY,2026-08-31,2026-09-30,30,769.3499755859375,0.12091192158941164,0.22298204828999926,0.13030895062714826,0.10207012670058763,0.092673097662851,2026-08-31 00:31:06.165422
ndx,QQQ,2026-08-31,2026-09-30,30,716.4299926757812,0.1777056533904839,0.2570943528492152,0.16047115704273435,0.07938869945873134,0.09662319580648088,2026-08-31 00:31:07.059319
rut,IWM,2026-08-31,2026-09-30,30,295.75,0.16812050149536134,0.24749898016357413,0.15175652939453127,0.07937847866821279,0.09574245076904286,2026-08-31 00:31:08.255607
