market_id,market,report_date,available_from,open_interest,lev_long,lev_short,lev_spread,am_long,am_short,dealer_long,dealer_short,loaded_at
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-11-26,2024-11-29,4385772,332373,2744188,222912,2353729,276877,236962,400337,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-12-03,2024-12-06,4333189,317190,2708940,240679,2404702,341639,274643,387743,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-12-10,2024-12-13,4333815,286423,2761294,233414,2395063,334909,301009,342617,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-12-17,2024-12-20,4276400,306015,2716352,244216,2431118,306655,204313,347573,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-12-24,2024-12-27,4304239,321958,2724929,263427,2464978,274344,156990,383687,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2024-12-31,2025-01-03,4334406,383695,2691830,279770,2449323,348942,144643,352018,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-01-07,2025-01-10,4321824,383439,2612559,296291,2378291,357979,148114,385644,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-01-14,2025-01-17,4363187,412690,2664277,271469,2423828,310552,122670,393364,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-01-21,2025-01-24,4207789,388418,2513566,229096,2322507,327759,143785,379213,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-01-28,2025-01-31,4266041,426128,2559998,216282,2366237,325141,151947,350356,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-02-04,2025-02-07,4168965,418662,2544736,215895,2312347,347310,151834,335564,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-02-11,2025-02-14,4223966,383046,2471889,268248,2336734,327421,165642,379884,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-02-18,2025-02-21,4221239,398656,2403531,335857,2269878,313262,125590,375680,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-02-25,2025-02-28,4292877,415830,2295483,460732,2120470,287096,132527,395152,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-03-04,2025-03-07,3921753,380345,2176013,329690,2141143,279551,89125,413800,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-03-11,2025-03-14,4025387,333198,2225318,406972,2163454,258702,160965,398750,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-03-18,2025-03-21,3923740,327163,2184786,368572,2065489,268383,167045,349025,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-03-25,2025-03-28,3960611,378006,2120512,363646,2027546,327271,211746,360479,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-04-01,2025-04-04,4010239,413054,2199730,307606,2084383,344755,211497,369735,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-04-08,2025-04-11,4150105,507228,2167947,365687,2106394,333679,125717,435335,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-04-15,2025-04-18,4118081,395409,2277468,299543,2260922,273298,148715,467607,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-04-22,2025-04-25,4222348,409608,2335963,312802,2282192,265008,173882,459112,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-04-29,2025-05-02,4182684,403985,2285781,276605,2234779,313449,183353,441406,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-05-06,2025-05-09,4225614,338821,2204371,315792,2188072,326751,197513,446164,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-05-13,2025-05-16,4320314,349416,2205685,382030,2236378,379088,214962,419773,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-05-20,2025-05-23,4417553,434738,2260483,413293,2218902,389055,189893,429100,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-05-27,2025-05-30,4122841,432837,2184855,190285,2141198,449366,175580,415414,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-06-03,2025-06-06,3942374,432606,2188378,163346,2166017,426004,184484,377344,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-06-10,2025-06-13,4084165,430070,2295798,157165,2275985,415080,179168,413815,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-06-17,2025-06-20,4152483,454903,2304548,165631,2385430,406659,144956,434346,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-06-24,2025-06-27,4277388,503241,2479862,158774,2405883,384024,168883,453031,2026-08-04 20:52:29.533318
ust2,UST 2Y NOTE - CHICAGO BOARD OF TRADE,2025-07-01,2025-07-04,4421655,520999,2538902,173976,2582311,461303,179779,459845,2026-08-04 20:52:29.533318
